timestamp,kind,source,message
2026-09-21 01:08:01.059,camera,ui,"hue=210° → rgb(177, 239, 255) hue 192° white 69%"
2026-09-21 01:08:01.067,sweep,ui,[8/12] BC040600D203E8000055 → 3 device(s)
2026-09-21 01:08:01.466,send,ble,GATT--DEMO ← BC040600F003E8000055 (sweep:hue)
2026-09-21 01:08:01.540,send,ble,GATT--DEMO ← BC040600F003E8000055 (sweep:hue)
2026-09-21 01:08:01.599,send,ble,GATT--DEMO ← BC040600F003E8000055 (sweep:hue)
2026-09-21 01:08:01.867,camera,ui,"hue=240° → rgb(135, 189, 253) hue 212° white 53%"
2026-09-21 01:08:01.875,sweep,ui,[9/12] BC040600F003E8000055 → 3 device(s)
2026-09-21 01:08:02.288,send,ble,GATT--DEMO ← BC0406010E03E8000055 (sweep:hue)
2026-09-21 01:08:02.347,send,ble,GATT--DEMO ← BC0406010E03E8000055 (sweep:hue)
2026-09-21 01:08:02.409,send,ble,GATT--DEMO ← BC0406010E03E8000055 (sweep:hue)
2026-09-21 01:08:02.724,camera,ui,"hue=270° → rgb(201, 174, 254) hue 260° white 68%"
2026-09-21 01:08:02.733,sweep,ui,[10/12] BC0406010E03E8000055 → 3 device(s)
2026-09-21 01:08:03.140,send,ble,GATT--DEMO ← BC0406012C03E8000055 (sweep:hue)
2026-09-21 01:08:03.210,send,ble,GATT--DEMO ← BC0406012C03E8000055 (sweep:hue)
2026-09-21 01:08:03.279,send,ble,GATT--DEMO ← BC0406012C03E8000055 (sweep:hue)
2026-09-21 01:08:03.492,camera,ui,"hue=300° → rgb(206, 171, 254) hue 265° white 68%"
2026-09-21 01:08:03.501,sweep,ui,[11/12] BC0406012C03E8000055 → 3 device(s)
2026-09-21 01:08:03.910,send,ble,GATT--DEMO ← BC0406014A03E8000055 (sweep:hue)
2026-09-21 01:08:03.977,send,ble,GATT--DEMO ← BC0406014A03E8000055 (sweep:hue)
2026-09-21 01:08:04.029,send,ble,GATT--DEMO ← BC0406014A03E8000055 (sweep:hue)
2026-09-21 01:08:04.226,camera,ui,"hue=330° → rgb(224, 161, 253) hue 282° white 64%"
2026-09-21 01:08:04.237,sweep,ui,[12/12] BC0406014A03E8000055 → 3 device(s)
